Company Name,Founded,Headquarters,Key People,Products,Revenue,Number of Employees,Website,,,
Volkswagen AG,,", ","Hans Dieter Pötsch (chairman of the supervisory board)<ref name=""ReferenceA"">Cite web|url=https://www.volkswagen-newsroom.com/en/press-releases/extensive-revision-of-volkswagen-group-management-structure-decided-443 |title=Extensive revision of Volkswagen Group management structure decided|website=Volkswagen Media Services|language=en-GB|access-date=12 April 2018|archive-url=https://web.archive.org/web/20180413043610/https://www.volkswagen-media-services.com/en/detailpage/-/detail/Extensive-revision-of-Volkswagen-Group-management-structure-decided/view/6821211/7a5bbec13158edd433c6630f5ac445da?p_auth=OUOY3Rd3|archive-date=13 April 2018|url-status=live</ref><br>Oliver Blume (chairman of the board of management)<ref name=""Oliver_Blume"">Cite web|url=https://www.volkswagenag.com/en/news/2022/07/oliver-blume-follows-herbert-diess-as-chairman-of-the-board-of-m.html|title=Oliver Blume follows Herbert Diess as Chairman of the Board of Management of the Volkswagen Group|website=Volkswagen News|language=en|date=22 July 2022|access-date=1 September 2022|archive-date=1 September 2022|archive-url=https://web.archive.org/web/20220901044546/https://www.volkswagenag.com/en/news/2022/07/oliver-blume-follows-herbert-diess-as-chairman-of-the-board-of-m.html|url-status=dead</ref><ref>Cite web|url=https://www.volkswagenag.com/en/news/stories/2022/08/interview-oliver-blume.html|title=""Team spirit, fairness and passion are key""|website=Volkswagen News|language=en|date=1 September 2022|access-date=1 September 2022|archive-date=15 October 2022|archive-url=https://web.archive.org/web/20221015120632/https://www.volkswagenag.com/en/news/stories/2022/08/interview-oliver-blume.html|url-status=dead</ref>","Car|Automobiles, commercial vehicles, internal combustion engines, motorcycles, turbomachinery",increase Euro|€322.2840&nbsp,billion (2023),"increase 667,647 employees (average during 2021)<ref name=""AR21a""/>",,,
Walmart Inc.,,", ","plainlist|
* Greg Penner (chairman)
* Doug McMillon (President (corporate title)|president, Chief executive officer|CEO)",,"nowrap| increase US$|648.12 billion|link=yes (Fiscal Year|FY2024)<ref name=N>cite web|url=https://s201.q4cdn.com/262069030/files/doc_financials/2024/ar/2024-annual-report-pdf-final-final.pdf|publisher=Walmart|access-date=February 17, 2022|title=Walmart Annual Report 2023|archive-date=February 21, 2023|archive-url=https://web.archive.org/web/20230221154737/https://s201.q4cdn.com/262069030/files/doc_financials/2023/q4/Earnings-Release-(FY23-Q4)-(final).pdf|url-status=live</ref>","2,100,000 (Jan. 2024)<ref name=N/>",,,,
Wells Fargo & Company,"Start date and age|1929|1|24|p=y in Minneapolis, Minnesota, United States|U.S. (as Northwest Bancorporation), April 1983 (as Norwest Corporation), November 2, 1998 (as Wells Fargo & Company)",", ",ubl|Steven Black (businessman)|Steven Black (chairman)|Charles Scharf (President (corporate title)|president and Chief executive officer|CEO),ubl | Asset management | Banking | Commodities | Credit cards | Equities trading | Insurance | Investment management | Mortgage loans | Mutual funds | Exchange-traded funds | Index funds | Private equity | Risk management | Wealth management,down US$73.8&nbsp,billion,"238,698 (2022)",URL|https://www.wellsfargo.com/|wellsfargo.com,,
UnitedHealth Group Incorporated,,", ","ubl|Stephen J. Hemsley (Chiar (official)|chair)|Andrew Witty (Chief executive officer|CEO)|John Rex (President (corporate title)|president, Chief financial officer|CFO)",,nowrap| Increase US$|371.6 billion|link=yes (2023),"circa|440,000 (2023)",URL|unitedhealthgroup.com,,,
China Merchants Bank Company Limited,,", ",Miao JianMin <small>(Chairman)</small><br>Wang Liang <small>(President & CEO)</small>,,"Increase CNY¥FXConvert|CHN|225.61|b (2020)<ref name=""ar2018"">cite web|title=Annual Report 2018|url=http://file.cmbimg.com/cmbir/201904/476b7790-2259-4f08-a457-f1437d92620b.pdf|date=22 March 2019|publisher=China Merchants Bank Company Limited|access-date=1 June 2019|language=en</ref>","74,590 <small>(2018)</small><ref name=""ar2018"" />",,,,
Alibaba Group Holding Limited,,", ","plainlist|
* Joseph Tsai (chairman)
* Eddie Wu (Chief executive officer|CEO)
* J. Michael Evans (President (corporate title)|president)",,"increase CNY|941.168&nbsp;billion|link=yes<ref name=FY24/> (US$130.35&nbsp;billion, 2024)","204,891 (2024)<ref name=""FY24"" />",,,,
Allianz SE,,", ",ubl|Oliver Bäte (Chief executive officer|CEO),,increase Euro|€152.7&nbsp,billion (2022),"159,253 (2022)",,,
Comcast Corporation,"Start date and age|1963|6|28 in Tupelo, Mississippi, U.S.","Philadelphia, Pennsylvania, United States","plainlist|
* Brian L. Roberts (Chairman#Public corporations|chairman & Chief executive officer|CEO)
* Michael J. Cavanagh (President (corporate title)|president)
* Jason S. Armstrong (Chief financial officer|CFO)",ubl|Cable television|Broadband|Internet service provider|Internet service|Broadcasting,increase US$|121.6 billion|link=yes,186000,URL|https://corporate.comcast.com,,,
BNP Paribas CIB,,", ",Ubl|Jean Lemierre (Chairperson|Chairman)|Jean-Laurent Bonnafé (CEO),Corporate banking<br>Investment banking,"US$27.6&nbsp;billion <small>(2008)</small><ref name=""Biz Journals""/>","17,000 <small>(2007)</small><ref name=""AR2007"">cite web|url=http://invest.bnpparibas.com/en/financial-reports/documents/registration-document-2007.pdf |title=Annual Report 2007 |access-date=16 June 2008 |publisher=BNP Paribas |url-status=dead |archive-url=https://web.archive.org/web/20080910064721/http://invest.bnpparibas.com/en/financial-reports/documents/registration-document-2007.pdf |archive-date=10 September 2008 </ref>",,,,
Morgan Stanley,,", ",ubl||James P. Gorman (executive chairman)|Ted Pick (Chief executive officer|CEO)|Andy Saperstein (President (corporate title)|co-president)| Dan Simkowitz (co-president),ubl|Investment banking| Sales and trading| Commodity|Commodities| Prime brokerage| Wealth management| Investment management|Mutual funds |Exchange-traded funds |Index funds,increase US$|54.1&nbsp,billion|link=yes (2023),"80,006 (2023)",official URL,,
"China Mobile Limited, lang|zh-CN|nobold|中国移动通信集团公司",,", ","Yang Jie (Chairman) ,",,"increase CNY|812.0 billion|link=yes (2022)<ref name=""AR2022"">cite web |url=https://www.chinamobileltd.com/en/ir/reports/ar2022.pdf |pages=19, 22 |title=Annual Report 2022 |publisher=China Mobile</ref>","450,698 (2022)<ref name=""AR2022""/>",,,,
Facebook,"Start date and age|2004|02|04 in Cambridge, Massachusetts, US",", ",,,,,,,,
Johnson & Johnson,"Start date and age|1886|1 in New Brunswick, New Jersey, U.S.",", ","Unbulleted list
 | Joaquin Duato (chairman & Chief executive officer|CEO)",List of Johnson & Johnson products and services,increase US$|85.16&nbsp,billion|link=yes (2023),"134,400 (2023)",url|https://www.jnj.com/|jnj.com,,
Sony Group Corporation,,"Minato, Tokyo, Japan","plainlist|
* Kenichiro Yoshida (chairman and Chief executive officer|CEO)
* Hiroki Totoki (President (corporate title)|president and COO)","plainlist| 
* Automotive
* Cameras
* Computer hardware
* Consumer electronics
* Films
* Music
* Robots
* Semiconductors
* Telecommunications equipment
* Television show|TV shows
* Video games",Increase JPY|11.540&nbsp,trillion (FY2022),"113,000<ref>Cite web |url=https://www.sony.com/en/SonyInfo/CorporateInfo/data/ |title=Corporate Info |access-date=2023-12-06 |archive-date=2023-12-07 |archive-url=https://web.archive.org/web/20231207042724/https://www.sony.com/en/SonyInfo/CorporateInfo/data/ |url-status=live </ref>",,,
Intel Corporation,start date and age|1968|7|18,"Santa Clara, California, U.S.<br/>
Coord|37|23|16|N|121|57|49|W|type:landmarkregion:US-CA|display=title,inline",Frank D. Yeary (chairman)<br/>Pat Gelsinger (Chief executive officer|CEO),,Decrease US$|54.23 billion|link=yes (2023),124800,url|https://www.intel.com/|intel.com,,,
CVS Health Corporation,"start date and age|1963 in Lowell, Massachusetts, U.S.","Woonsocket, Rhode Island, U.S.",David Joyner (business executive)|David Joyner (President (corporate title)|president and Chief executive officer|CEO),,increase US$|357.8 billion|link=yes (2023),"circa|300,000 (2023)",official URL,,,
Nestlé S.A.,,", ","Plain list|
* Paul Bulcke<ref name=""Management"">cite web|url=http://www.nestle.com/aboutus/management|title=Management|publisher=Nestlé|access-date=29 May 2017|archive-url=https://web.archive.org/web/20170601032700/http://www.nestle.com/aboutus/management|archive-date=1 June 2017|url-status=live</ref> (chairman)
* Laurent Freixe<ref name=""Management""/> (Chief executive officer|CEO)
* David McDaniel<ref>cite web |url=https://www.nestle.in/sites/g/files/pydnoa451/files/2020-08/DM-Profile-01-08-2020.pdf |title=Mr. David McDaniel |publisher=nestle.in |access-date=14 September 2021 |archive-date=30 August 2021 |archive-url=https://web.archive.org/web/20210830123227/https://www.nestle.in/sites/g/files/pydnoa451/files/2020-08/DM-Profile-01-08-2020.pdf |url-status=live </ref> (Chief executive officer|CFO)",hlist |Baby food | coffee | dairy products | breakfast cereals | confectionery | bottled water | ice cream | pet foods | dietary supplements | protein supplements,"nowrap|decrease Swiss franc|CHF 92.998 billion (2023)<ref name=""AR2022"" />","270,000 (2023)<ref name=""AR2022"" />",,,,
Deutsche Telekom AG,,", ","Timotheus Höttges, (Chief executive officer|CEO), Frank Appel, (Chairman of the Supervisory board)","Landline|Fixed-line, Mobile telephony, Broadband, Digital television, Digital media, Information technology|IT Services","Decrease Euro|€112.0 billion (2023)<ref name=""AR2023"">cite web|url= https://report.telekom.com/annual-report-2023/_assets/downloads/entire-dtag-ar23.pdf |title=Annual Report 2023|work=Deutsche Telekom AG</ref>","205,000 (2023)<ref name=""AR2023""/>",,,,
General Electric Company,"Start date and age|1892|4|15 nowrap|in Schenectady, New York, US",", ",,,increase US$|68 billion|link=yes (2023),"125,000 (2023)",Official URL,,,
The Procter & Gamble Company,Start date and age|1837|10|31,"Cincinnati, Ohio|Cincinnati, Ohio, U.S.",ubl|David S. Taylor|(executive chairman)|Jon R. Moeller|(President (corporate title)|president and Chief executive officer|CEO),hlist|Cleaning agents|skin care|personal care|dietary supplements,increase USD|84.04 billion|link=yes (2024),108000,,,,
General Motors Company,,", ","indented plainlist|
*Pierre S. du Pont, Chairman of the Board (1915–1929)
*Charles Kettering, Director of Research (1920–1947)
*Alfred P. Sloan, CEO (1923–1946)","unbulleted list
  | Car|Automobiles
  | Performance car|Performance vehicles
  | Luxury car|Luxury vehicles
  | Commercial vehicles
  | Military vehicles
  | Automobile parts",nowrap|increase US$|171.8 billion|link=yes (2023)<ref name=10K/>,"163,000 (2023)<ref name=10K/>",,,,
China Petroleum and Chemical Corporation,,", ",ubl|Ma Yongsheng (Chairman)|Zhang Dong (Vice Chairman & President)<ref>cite web |title=Board of Directors Sinopec Corp |url=http://www.sinopec.com/listco/en/about_sinopec/our_company/board_of_directors/ |website=www.sinopec.com |access-date=25 August 2024</ref>,"Fuels, natural gas, lubricants, petrochemicals","increase CNY|link=yes|3,318,168 million (US$482.4 billion) (2022)<ref name=""report2022"">cite web | url=http://www.sinopec.com/listco/en/Resource/Pdf/2023032580.pdf| title=2022 Annual reports and accounts | website=www.sinopec.com | access-date=28 March 2023</ref>","374,791 (2022)<ref name=""report2022"" />",,,,
PJSC Sberbank,,", ","Anton Siluanov <small>(Chairman-Supervisory Board)</small> ,  German Gref|Herman Gref <small>(CEO, Chief Executive Officer & Member-Supervisory Board)</small>
<ref>Cite web |title=SBER.RU ! Sberbank Rossia Company Profile & Executives - WS |url=https://www.wsj.com/market-data/quotes/RU/SBER/company-people |publisher=www.wsj.com</ref>",hlist| Retail banking | Commercial bank|corporate banking| investment banking| insurance| private banking| private equity| mortgage loans| credit cards| investment management| wealth management | asset management | mutual funds| exchange-traded funds| index funds,wikidata revenue|revenue|USDwikidata revenue|revenue|ref,"281,000 (2019)<ref>Cite web |title=Sberbank in brief |url=https://www.sberbank.com/common/img/uploaded/com/sberbank_in_brief_rus.pdf |publisher=Sberbank.ru |access-date=13 May 2020 |archive-date=28 May 2020 |archive-url=https://web.archive.org/web/20200528203442/https://www.sberbank.com/common/img/uploaded/com/sberbank_in_brief_rus.pdf |url-status=dead </ref>",,,,
Cigna Global Health Benefits,Start date and age|1982,", ","Jason Sadler, President, Cigna Global Health Benefits","Medical, Dental, Disability, Life Insurance",increase US$|195.3 billion|link=yes (2023),"circa|72,500 (2023)",URL|cigna.com,,,
AIA Group Limited,,", ",Lee Yuan Siong (President (corporate title)|President & Chief executive officer|CEO),hlist|Life insurance|accident and health insurance|savings plans|employee benefits|variable contracts|investments|securities|credit life and pension services,,,,,,
Reliance Industries Limited,,", India","Mukesh Ambani, small|(Chairman & Managing Director)","plainlist|
*Petroleum 
*Natural gas 
*Chemical industry|Chemicals
*Petrochemicals
*Oil refinery|Oil refining
*Retail
*Telecommunications
*Mass Media|Media 
*Entertainment",upINRConvert|1000122|c<ref>Cite web|url=https://www.bseindia.com/xml-data/corpfiling/AttachHis/74747c33-cb00-4cea-b7e1-0f6cb785e47f.pdf|title=Reliance Industries Q4 FY24 results</ref>,"down 347,362 (2024)<ref>Cite web|title=Reliance Industries AR 2023-24|url=https://www.bseindia.com/xml-data/corpfiling/AttachLive/d473280d-1c2b-4037-8ff9-dfbb82aa2c7e.pdf</ref>",,,,
"Bank of Communications Co., Ltd.",,", ","Niu Ximing, chairman of the board<br>Peng Chun, President",hlist| Retail banking|Consumer banking | Commercial bank|corporate banking | investment banking | insurance | private banking | private equity | mortgage loans | credit cards | investment management | wealth management | asset management | mutual funds| exchange-traded funds| index funds,"Increase CNY|link=yes|144.08 billion<br><small>$20.53&nbsp;billion (2019)</small><ref name=""ar2018"">cite web|title=Annual Report 2018|url=http://www.bankcomm.com/BankCommSite/fileDownload.do?fileId=fccfe6dae69547f9b4d0a4d3b9e2264e|publisher=Bank of Communications|access-date=31 May 2019|language=en</ref>","87,828 <small>(2019)</small><ref name=ar2019>cite web |title=OCBC Bank Annual Report 2019 |url=https://www.ocbc.com/assets/pdf/quarterly-results/2019/ocbc%20fy19%20financial%20results.pdf |website=OCBC Bank |access-date=23 February 2020</ref>",,,,
Pfizer Inc.,start date and age|1849 in New York City,"New York City, US","Albert Bourla, (Chairman and CEO)",hlist|Medication|Pharmaceutical drugs|vaccines,decrease US$|58.5nbspbillion,"circa|88,000",Official URL,,,
International Business Machines Corporation,"Start date and age|1911|06|16 (as Computing-Tabulating-Recording Company), Endicott, New York, U.S.<ref name=certificate1911>citation|contribution=Certificate of Incorporation of Computing-Tabulating-Recording-Co|title=Appendix to Hearings Before the Committee on Patents, House of Representatives, Seventy-Fourth Congress, on H. R. 4523, Part III|publisher=United States Government Printing Office|date=1935|orig-date=Incorporation paperwork filed June 16, 1911|url=https://books.google.com/books?id=_8tFAQAAMAAJ&pg=PA3428|access-date=July 18, 2019|archive-date=August 3, 2020|archive-url=https://web.archive.org/web/20200803060912/https://books.google.com/books?id=_8tFAQAAMAAJ&pg=PA3428|url-status=live</ref><!--, February 14, 1924 (current name), 1933 (current structure)-->",", ","ubl
|Arvind Krishna (chairman & Chief executive officer|CEO)<ref name=""fortune20160201"">cite news|url=https://fortune.com/2016/02/01/ibm-employee-performance-reviews/|title=IBM Is Blowing Up Its Annual Performance Review|work=Fortune|date=February 1, 2016|access-date=July 22, 2016|archive-date=October 29, 2020|archive-url=https://web.archive.org/web/20201029084543/https://fortune.com/2016/02/01/ibm-employee-performance-reviews/|url-status=live</ref><ref>Cite web |title=IBM – Arvind Krishna – Chief Executive Officer |url=https://www.ibm.com/about/arvind |url-status=live |archive-url=https://web.archive.org/web/20220308034905/https://www.ibm.com/about/arvind |archive-date=March 8, 2022|access-date=March 8, 2022 |website=www.ibm.com |language=en-us</ref>
|Gary Cohn (vice chairman)<ref>Cite web |title=IBM Newsroom - Gary Cohn |url=https://newsroom.ibm.com/gary-cohn-2 |access-date=March 8, 2022 |website=IBM Newsroom |language=en-us</ref>","Automation, Robotics, Artificial intelligence, Cloud computing, Consulting, Blockchain, Computer hardware, Software, Quantum computing",increase US$|61.860 billion|link=yes (2023),"282,200 (December 2023)",URL|https://www.ibm.com/|ibm.com,,,
"MetLife, Inc.",,", ","plainlist|
* Michel A. Khalaf (President & CEO)
* Glenn Hubbard (economist)|Glenn Hubbard (Chairperson#Public corporations|Chairman)",,"nowrap|decrease US$|66.91 billion|link=yes (2023)<ref name=""2023 10-K"" />","circa|45,000 (2023)<ref name=""2023 10-K"">cite web |url=https://www.sec.gov/ix?doc=/Archives/edgar/data/1099219/000109921924000035/met-20231231.htm |title=Metlife, Inc. 2023 Annual Report (Form 10-K) |date=16 February 2024 |publisher=U.S. Securities and Exchange Commission</ref>",,,,
"PetroChina Company Limited, lang|zh-hans|中国石油天然气股份有限公司",,", ","Zhou Jiping (Chairman), Wang Dongjin (Chief Executive Officer|CEO)<ref>cite web|url=http://www.petrochina.com.cn/ptr/ldjs/ldjs.shtml|title=Executive Profiles|website=Petrochina.com.cn|access-date=29 January 2018</ref>","Fuels, lubricants, natural gas, petrochemicals","increase USD|link=yes|297 Billion    (2020)<ref name=""FY"">cite web |url = http://www.petrochina.com.cn/ptr/ndbg/201804/de633154d1a1434c9c94070c136be93e/files/46a28bfca49b4757a99ca71b69b517aa.pdf |title = Annual Report 2017 |publisher = PetroChina Company Limited |date=22 March 2018 |access-date = 29 May 2018</ref>","506,000 (2019)",,,,
Novartis AG,unbulleted list|start date and age|1996|12|20|df=yes|(from merger),", ",unbulleted list|Vasant Narasimhan (Chief executive officer|CEO)|Jörg Reinhardt (chairman),"Medication|Pharmaceutical drugs, generic drugs, over-the-counter drugs, vaccines, Medical diagnosis|diagnostics, contact lenses, Veterinary medicine|animal health (#Products|list...)",increase US$|45.44 billion|link=yes,76057,,,,
"The Home Depot, Inc.",,"Unincorporated Cobb County, Georgia, U.S.","Ted Decker (chairman, President (corporate title)|president & Chief executive officer|CEO)","Home appliances, tools, Household hardware|hardware, builders hardware, lumber, building materials, lighting, electrical supplies, paint, plumbing, flooring, furniture, interior design|home decor, bedding, curtains, gardening|garden supplies and plants",decrease US$|152.7 billion|link=yes (2023),"463,100 (January 2024)",URL|https://homedepot.com/,,,
Siemens AG,,", ",Roland Busch (CEO)<br>Jim Hagemann Snabe (chairman),"industrial automation, drive technology, building technology, energy technology, financial services, medical technology, mobility solutionsbuzzword inline|date=May 2024, software","Increase €77.769 billion (2023)<ref name=""Earnings2023"">Cite web |title=Earnings Release and Financial Results Q4 FY 2023 |url=https://press.siemens.com/global/en/pressrelease/earnings-release-and-financial-results-q4-fy-2023 |access-date=2023-11-16 |website=press.siemens.com |language=en</ref>","320,000 (2023)<ref name=""Earnings2023""/>",,,,
"PepsiCo, Inc.",,"Harrison, New York, U.S., U.S.","Ramon Laguarta (Chairperson|chairman & Chief executive officer|CEO), Jamie Caulfield (Executive vice president|EVP and Chief financial officer|CFO)",#Products and brands|See list of PepsiCo products,increase US$|91.47 billion|link=yes (2023),"318,000 (2023)",URL|pepsico.com,,,
Sanofi S.A.,,", ",ubl|Serge Weinberg (chairman)|Paul Hudson (businessman)|Paul Hudson (Chief executive officer|CEO),"Medications, generic drugs, over-the-counter drugs, vaccines, Medical diagnosis|diagnostics, contact lenses, Veterinary medicine|animal health (#Products|list...)",increase €|43.07 billion|link=yes,86088,,,,
Enel S.p.A.,,", ","Paolo Scaroni (Chairman)<ref name=""1-ansa.it-cit"">Cite web|url=https://www.ansa.it/sito/notizie/economia/2023/05/10/paolo-scaroni-nominato-nuovo-presidente-dellenel_922b7981-0614-459d-8447-d10f1792a143.html|title=Paolo Scaroni nominato nuovo presidente dell'Enel|date=10 May 2023 </ref>, Flavio Cattaneo (chief executive officer|CEO)<ref name=""1-lastampa.it-cit"">Cite web|url=https://finanza.lastampa.it/News/2023/05/12/enel-flavio-cattaneo-nominato-amministratore-delegato/MTcxXzIwMjMtMDUtMTJfVExC|title=Enel, Flavio Cattaneo nominato amministratore delegato</ref>",Electricity generation and Electricity distribution|distribution, natural gas distribution,"increase Euro|96&nbsp;billion|link=yes (2023)<ref name=""1-61-iusletter.com-cita"">cite web|url=https://iusletter.com/oggi-sulla-stampa/enel-lutile-sale-a-65-miliardi-raggiunti-tutti-gli-obiettivi-2023/|title=Enel, l'utile sale a 6,5 miliardi «Raggiunti tutti gli obiettivi 2023»|date=22 March 2024 </ref>","61,055 (2023)<ref name=""3-18-investire.biz-cita"">cite web|url=https://investire.biz/quotazioni/azioni/enel-mil-enel|title=ENEL - Euronext Milan</ref>",,,
AbbVie Inc.,Start date and age|2012|04|10,", ",ubl|Richard A. Gonzalez (chairman)|Robert Michael (Chief executive officer|CEO),"flatlist|
* Adalimumab|Humira
* Ibrutinib|Imbruvica
* Lopinavir|Kaletra
* Glecaprevir/pibrentasvir|Mavyret/Maviret
* Ritonavir|Norvir
* Risankizumab|Skyrizi
* venetoclax|Venclexta
* Daclizumab|Zinbryta",decrease US$|54.32 billion|link=yes (2023),"circa|50,000 (2024)",URL|abbvie.com,,,
